Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
boeck2020/dar,0.010934823760542224,0.08477000765221826,0.0036733202936365247,0.004445086146460351
boeck2019/multi_task,0.01792626115142189,0.11981594491354228,0.003390662473009952,0.003874313266994228
boeck2019/multi_task_hjdb,0.018791762706528298,0.1219979623200636,0.003773885132816062,0.012534892264663812
sun2021/default,0.022451471287743635,0.12358650108728034,0.008622147053054386,0.019261624750658124
schreiber2018/cnn,0.03243739927546867,0.15829456199281472,0.007557938653122911,0.029242917272447815
schreiber2018/fcn,0.05367107926029162,0.21093414827459472,0.007710392513344296,0.025196844034517264
schreiber2018/ismir2018,0.05498231493548317,0.21382327246029847,0.0074969978549733205,0.030811460216583944
schreiber2017/mirex2017,0.08033136897500136,0.26178350287603686,0.00781924745128735,0.04393414223007637
schreiber2017/ismir2017,0.12704524813316068,0.32523567946065635,0.009598618997927098,0.051591322233991446
boeck2015/tempodetector2016_default,0.16482740220172373,0.3705001928777234,0.007214011497567875,0.006591559996827932
davies2009/mirex_qm_tempotracker,0.3015524476154059,0.4319599729414011,0.03834453735832926,0.07401364659921666
zplane/auftakt_v3,0.3045606397704355,0.4473429929554085,0.017927452500472525,0.068528235362466
oliveira2010/ibt,0.31608571659281565,0.4402890572554118,0.033923227703977786,0.07851062445978077
klapuri2006/percival2014,0.3165178119614635,0.4458466407711161,0.028605786464609366,0.08846997642383521
schreiber2014/default,0.31678019448981753,0.4557159403320886,0.014205991407930477,0.066948132134489
percival2014/stem,0.32756830281221055,0.47993195624271145,0.01504885261286978,0.058917818194581695
scheirer1998/percival2014,0.3397789832898591,0.4315083597863522,0.07065850068162373,0.13732284252682456
echonest/version_3_2_1,0.38217050719616974,0.49490829123329383,0.04497599184224661,0.11494286993206301
gkiokas2012/default,0.40456310346086993,0.5489869754998239,0.010495387142676494,0.04172599651089195
