Estimator,OE1_MEAN,OE1_STDEV,OE2_MEAN,OE2_STDEV
boeck2020/dar,-0.0004835850592096936,0.13701477453578192,-0.003403293088406774,0.027710935875750766
boeck2019/multi_task,0.007150716325148893,0.1518714229287046,-0.0030682617770408866,0.02751310543239673
boeck2019/multi_task_hjdb,0.009049351719841685,0.16321844481928263,-0.0026294803969466344,0.029369149802652348
sun2021/default,-0.004637890779258316,0.16461820693415583,-0.005232500377079009,0.03281561736485713
schreiber2018/cnn,0.0012101539671616234,0.1855296310436828,-0.00022251078928536887,0.040195434994099576
schreiber2018/ismir2018,-0.03538473613388847,0.2365402572292339,-0.0024334467356076734,0.04054794146521701
schreiber2018/fcn,-0.010703084341187406,0.24252245896495142,-0.0006744310460584651,0.03726257664760537
schreiber2017/mirex2017,-0.04073009182472331,0.28627880602944544,-0.0034808081571015433,0.05213857956757538
schreiber2017/ismir2017,-0.07297905307489105,0.35779457720225183,-0.0005077600939151788,0.058670795926631235
boeck2015/tempodetector2016_default,-0.12630299386679658,0.38888821596079326,-0.004039598447191097,0.028791563604156845
schreiber2014/default,-0.30777682611638546,0.46309763649167873,0.0016787612761646111,0.07287912371815745
zplane/auftakt_v3,-0.26104408245883765,0.4768004616532018,0.0019716231295880786,0.0688135858171453
oliveira2010/ibt,-0.23905770754099523,0.4850583379127826,0.00449530105499332,0.08343370596539805
klapuri2006/percival2014,-0.24288005376917224,0.49019126269936936,0.012972328037018541,0.08979857296156528
percival2014/stem,-0.30839540248730196,0.4931391285690002,0.0021696942330667376,0.06544673986813797
davies2009/mirex_qm_tempotracker,-0.08300481750881816,0.5158893066910037,0.024688484785511798,0.07861360062409782
scheirer1998/percival2014,-0.17462494342638835,0.5214124960945055,0.023095014075320733,0.15138787859990455
echonest/version_3_2_1,-0.3140669375779828,0.5407837267926744,-0.00936256165231234,0.1256853878572246
gkiokas2012/default,-0.37853878795772694,0.5694375681509718,-0.002230532176442417,0.04358989700076875
