T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
166.0,0.027777777777777776,0.027777777777777776,0.03333333333333333,0.06111111111111111,0.0,0.0,0.03888888888888889,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.03888888888888889
167.0,0.05555555555555555,0.03333333333333333,0.03888888888888889,0.03888888888888889,0.0,0.0,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.05,0.05
168.0,0.03888888888888889,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.044444444444444446,0.027777777777777776
169.0,0.03888888888888889,0.03333333333333333,0.027777777777777776,0.1,0.0,0.0,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.05,0.027777777777777776
170.0,0.03888888888888889,0.022222222222222223,0.027777777777777776,0.1,0.0,0.0,0.03888888888888889,0.044444444444444446,0.03333333333333333,0.044444444444444446,0.027777777777777776
171.0,0.03888888888888889,0.022222222222222223,0.022222222222222223,0.1,0.0,0.0,0.03333333333333333,0.03888888888888889,0.03888888888888889,0.044444444444444446,0.03333333333333333
172.0,0.03888888888888889,0.03333333333333333,0.03333333333333333,0.06111111111111111,0.0,0.0,0.022222222222222223,0.027777777777777776,0.044444444444444446,0.06111111111111111,0.044444444444444446
173.0,0.03888888888888889,0.03333333333333333,0.03333333333333333,0.06111111111111111,0.0,0.0,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.05555555555555555,0.03333333333333333
174.0,0.03888888888888889,0.027777777777777776,0.03333333333333333,0.07222222222222222,0.0,0.0,0.016666666666666666,0.03333333333333333,0.044444444444444446,0.06111111111111111,0.03888888888888889
175.0,0.03888888888888889,0.03333333333333333,0.03888888888888889,0.07222222222222222,0.0,0.0,0.011111111111111112,0.03333333333333333,0.044444444444444446,0.05555555555555555,0.03888888888888889
176.0,0.03888888888888889,0.03333333333333333,0.03888888888888889,0.07222222222222222,0.0,0.0,0.005555555555555556,0.022222222222222223,0.05,0.05555555555555555,0.03888888888888889
177.0,0.022222222222222223,0.022222222222222223,0.027777777777777776,0.07222222222222222,0.0,0.0,0.005555555555555556,0.011111111111111112,0.05,0.05555555555555555,0.03888888888888889
178.0,0.022222222222222223,0.022222222222222223,0.03333333333333333,0.011111111111111112,0.0,0.0,0.005555555555555556,0.011111111111111112,0.03333333333333333,0.03888888888888889,0.027777777777777776
179.0,0.022222222222222223,0.022222222222222223,0.027777777777777776,0.011111111111111112,0.0,0.0,0.005555555555555556,0.011111111111111112,0.03888888888888889,0.03888888888888889,0.03333333333333333
180.0,0.022222222222222223,0.022222222222222223,0.027777777777777776,0.016666666666666666,0.0,0.0,0.0,0.005555555555555556,0.03888888888888889,0.03888888888888889,0.03333333333333333
181.0,0.022222222222222223,0.022222222222222223,0.027777777777777776,0.016666666666666666,0.0,0.0,0.0,0.005555555555555556,0.05555555555555555,0.044444444444444446,0.03888888888888889
182.0,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.005555555555555556,0.044444444444444446,0.044444444444444446,0.027777777777777776
183.0,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.05,0.022222222222222223,0.022222222222222223
184.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.0,0.0,0.0,0.05,0.022222222222222223,0.022222222222222223
185.0,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.03888888888888889,0.016666666666666666,0.016666666666666666
186.0,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.044444444444444446,0.016666666666666666,0.016666666666666666
187.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.03888888888888889,0.016666666666666666,0.016666666666666666
188.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.05,0.022222222222222223,0.022222222222222223
189.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.05,0.022222222222222223,0.022222222222222223
190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.022222222222222223
191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.016666666666666666,0.022222222222222223
192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.011111111111111112,0.016666666666666666
193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.011111111111111112,0.016666666666666666
194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.011111111111111112
195.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.016666666666666666,0.011111111111111112
196.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.016666666666666666,0.011111111111111112
197.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.011111111111111112
198.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.011111111111111112
199.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.011111111111111112,0.005555555555555556
200.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556
201.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0
202.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0
203.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0
204.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0
205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0
206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
