Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0,0.03648980819824235,0.027611389679336986,-0.026838069309925983,-4.805364279834213e-05,-4.805364279834213e-05,-4.805364279834213e-05
1,0.4117761172065085,0.014863594839644058,0.0018076653428610822,-0.0010411326805336975,-0.0010411326805336975,-0.0010411326805336975
2,0.011599996683792588,0.10655770616766541,-0.043996024270263744,0.3582117401144684,0.3582117401144684,0.3582117401144684
3,0.0,0.019104077232527907,0.005026239996700916,0.0010018346101612174,0.0010018346101612174,0.0010018346101612174
4,0.004764116509774755,0.027611389679336986,0.00013316570391323857,0.00038947508426937465,0.00038947508426937465,0.00038947508426937465
5,-0.004748088415443274,0.036176753110700025,0.001524329182542226,-0.000704619420338777,-0.000704619420338777,-0.000704619420338777
6,0.21799608238297158,0.4538886658481796,-0.21680733798710994,-0.1966952288075185,0.23098637089646631,0.23098637089646631
7,-0.01146678522554667,0.03617116989314686,0.0005489211719054713,-0.00046744880201089414,-7.233693981764449e-05,-7.233693981764449e-05
8,0.4202243116110333,-0.1018474087018644,0.4193158312863011,-0.011500100929324087,-0.012472181827616302,-0.012472181827616302
9,0.0,0.01909933150174009,-0.001961474459144891,-0.003172702353926898,-0.003172798745345696,-0.003172798745345696
10,0.004759307341953563,0.030461985274524088,-0.01789964048478237,-0.0008282191873643972,-0.0008282191873643972,-0.0008282191873643972
11,-0.007231569231075703,0.021363042701795433,-0.0021656672181143925,-0.002787091838512417,-0.002787091838512417,-0.002787091838512417
12,0.1163431158874567,0.43867367661149925,-0.024987273621984312,0.0001973894027983882,-0.003970171415831273,-0.003970171415831273
13,0.0,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,-0.00013547542501019682
14,0.0,0.0022224421620449684,-0.0019609929066089007,0.00024367465754749417,-0.0011789229565935964,-0.0011789229565935964
15,-0.007649883168444964,0.020235488401988754,0.005579639699847006,0.0007175623040156084,0.0007175623040156084,0.0007175623040156084
16,0.011587974275211825,0.21126010974085224,0.0018076653428610822,0.0001825746903427758,0.0001825746903427758,0.0001825746903427758
17,-0.011466785225546831,-0.004470256281471457,-0.030940094773480684,-0.01956044916246611,-0.02136335996352404,-0.02136335996352404
18,0.0,0.019104077232527907,-0.0019619560118419375,-0.00013547542501019682,-0.00013547542501019682,-0.00013547542501019682
19,0.023269779322847295,0.035314911612716195,0.009166532005253785,0.0034307048053866225,0.0034307048053866225,0.0034307048053866225
20,0.0,0.03617507814770278,0.0022224421620449684,0.001191414467227104,0.0007174421392058368,0.0007174421392058368
21,0.0,0.01909933150174009,-0.001961474459144891,-0.00013542733066026794,-0.00013542733066026794,-0.00013542733066026794
